timestamp,id,marker_x,deltaX
1764084433.8445,8.0,974.25,334.25
1764084433.8781471,8.0,972.25,332.25
1764084433.9130292,8.0,970.0,330.0
1764084433.946225,8.0,967.5,327.5
1764084433.98076,8.0,964.75,324.75
1764084434.014476,8.0,961.5,321.5
1764084434.0500019,8.0,958.25,318.25
1764084434.0841851,8.0,955.25,315.25
1764084434.11747,8.0,953.25,313.25
1764084434.152698,8.0,950.75,310.75
1764084434.1872709,8.0,946.75,306.75
1764084434.221441,8.0,943.25,303.25
1764084434.2556858,8.0,938.5,298.5
1764084434.290827,8.0,934.75,294.75
1764084434.3263202,8.0,931.0,291.0
1764084434.359465,8.0,927.75,287.75
1764084434.3969128,8.0,923.75,283.75
1764084434.428282,8.0,920.0,280.0
1764084434.464772,8.0,914.5,274.5
1764084434.536093,8.0,905.75,265.75
1764084434.602896,8.0,897.0,257.0
1764084434.672988,8.0,888.25,248.25
1764084434.703182,8.0,883.5,243.5
1764084434.738681,8.0,879.25,239.25
1764084434.772985,8.0,874.75,234.75
1764084434.8080919,8.0,870.0,230.0
1764084434.841484,8.0,866.0,226.0
1764084434.875773,8.0,861.25,221.25
1764084434.911933,8.0,857.5,217.5
1764084434.946618,8.0,853.0,213.0
1764084434.979143,8.0,849.0,209.0
1764084435.014015,8.0,844.5,204.5
1764084435.048115,8.0,841.0,201.0
1764084435.082677,8.0,837.0,197.0
1764084435.116606,8.0,832.5,192.5
1764084435.151192,8.0,828.0,188.0
1764084435.1857312,8.0,823.25,183.25
1764084435.22106,8.0,818.75,178.75
1764084435.254035,8.0,814.25,174.25
1764084435.290623,8.0,810.25,170.25
1764084435.326066,8.0,806.25,166.25
1764084435.3585012,8.0,802.5,162.5
1764084435.394866,8.0,799.0,159.0
1764084435.429795,8.0,794.5,154.5
1764084435.4997702,8.0,787.25,147.25
1764084435.569026,8.0,778.5,138.5
1764084435.637776,8.0,770.75,130.75
1764084435.7055948,8.0,762.5,122.5
1764084435.7737558,8.0,755.75,115.75
1764084435.807198,8.0,752.0,112.0
1764084435.841682,8.0,747.0,107.0
1764084435.877088,8.0,742.5,102.5
1764084435.9117708,8.0,737.0,97.0
1764084435.944895,8.0,730.25,90.25
1764084435.979378,8.0,723.0,83.0
1764084436.014764,8.0,714.5,74.5
1764084436.084477,8.0,697.75,57.75
1764084436.154947,8.0,679.0,39.0
1764084436.222972,8.0,660.5,20.5
1764084436.290536,8.0,641.25,1.25
1764084436.357465,1.0,967.5,327.5
1764084436.394593,1.0,961.5,321.5
1764084436.463243,1.0,949.5,309.5
1764084436.496427,1.0,943.5,303.5
1764084436.529922,1.0,936.5,296.5
1764084436.564238,1.0,929.5,289.5
1764084436.599443,1.0,922.5,282.5
1764084436.6591518,1.0,914.75,274.75
1764084436.703203,1.0,898.75,258.75
1764084436.773345,1.0,884.0,244.0
1764084436.841982,1.0,869.5,229.5
1764084436.8753998,1.0,862.25,222.25
1764084436.945081,1.0,848.25,208.25
1764084437.0145159,1.0,834.75,194.75
1764084437.084662,1.0,822.25,182.25
1764084437.152451,1.0,805.75,165.75
1764084437.2216582,1.0,787.5,147.5
1764084437.2905788,1.0,770.0,130.0
1764084437.355659,1.0,750.0,110.0
1764084437.392819,1.0,740.5,100.5
1764084437.4628758,1.0,723.75,83.75
1764084437.528951,1.0,709.5,69.5
1764084437.562689,1.0,702.5,62.5
1764084437.596564,1.0,697.0,57.0
1764084437.633024,1.0,690.0,50.0
1764084437.664438,1.0,684.0,44.0
1764084437.699539,1.0,678.0,38.0
1764084437.732963,1.0,671.75,31.75
1764084437.768914,1.0,665.75,25.75
1764084437.801889,1.0,660.5,20.5
1764084437.836815,1.0,654.75,14.75
1764084437.871787,1.0,648.75,8.75
1764084437.906965,1.0,642.75,2.75
